crystal,chakras,element,purchase date,seller,sun safe?,use,water safe?,zodiac signs
garnet,root,earth,,,sun-safe,"energy, passion, vitality, love, grounding",water-safe,"aries, capricorn, leo"
amber,"sacral, solar plexus, throat",earth,,,not sun-safe,"cleansing negative energy, healing, stabilizing, grounding",not water-safe,leo
amethyst,"crown, third eye",air,,,not sun-safe,"spiritual connection, intuition, calming thoughts, sobriety",water-safe,"aquarius, pisces, sagittarius"
carnelian,"root, sacral",fire,,,not sun-safe,"creativity, motivation, confidence, courage",water-safe,"leo, taurus, virgo"
rose quartz,heart,water,,,not sun-safe,"unconditional love, self-love, compassion, kindness",water-safe,"leo, libra, taurus"
citrine,"crown, sacral, solar plexus",fire,,,not sun-safe,"happiness, creativity, manifestation, willpower",water-safe,"aries, gemini, leo, libra"
peridot,heart,earth,,,sun-safe,"abundance, personal growth, releasing jealousy, stress reduction",water-safe,"gemini, leo, virgo"
green aventurine,heart,earth,,,not sun-safe,"luck, prosperity, opportunity, emotional calm",not water-safe,"capricorn, taurus, virgo"
unakite,"heart, root",earth,,,sun-safe,"emotional balance, healing past trauma, grounding, patience",water-safe,scorpio
rhodonite,heart,earth,,,sun-safe,"forgiveness, compassion, healing emotional shock, self-worth",not water-safe,"cancer, taurus, virgo"
red jasper,root,earth,,,sun-safe,"grounding, stability, endurance, nurturing",not water-safe,"aries, scorpio"
labradorite,"heart, third eye",water,,,not sun-safe,"intuition, magic, transformation, protection",water-safe,"leo, sagittarius, scorpio"
tiger’s eye,"heart, root, solar plexus",earth,,,sun-safe,"confidence, focus, protection, decision-making",water-safe,"capricorn, taurus, virgo"
moss agate,"heart, root, sacral",earth,,,not sun-safe,"new beginnings, connection to nature, tranquility, abundance",water-safe,taurus
bloodstone,"heart, root",earth,,,sun-safe,"courage, grounding, purification, protection",not water-safe,"aries, libra, pisces"
hematite,root,fire,,,sun-safe,"grounding, protection, absorbing negativity, focus",not water-safe,"aquarius, aries"
selenite,"crown, third eye",air,,,not sun-safe,"cleansing, purification, spiritual connection, clarity",not water-safe,taurus
clear quartz,crown,all,,,not sun-safe,"amplifying energy, cleansing other crystals, healing, manifestation, clarity",water-safe,
pink tourmaline,"crown, heart",water,,,sun-safe,"emotional healing, self-love, compassion, calming, joy",water-safe,"libra, sagittarius, scorpio"
