Name,last practice session,level,no. label,notes/vocab/grammar,practice session dates,practice sessions,resources,status
English,Last Practice Session: N/A,C1,"Practice Sessions: 0
Resources: 0
Notes/Vocabulary/Grammar: 0",,,,,comfortable
Dutch,Last Practice Session: N/A,A1,"Practice Sessions: 0
Resources: 0
Notes/Vocabulary/Grammar: 0",,,,,on hold
Romanian,Last Practice Session: N/A,A1,"Practice Sessions: 0
Resources: 0
Notes/Vocabulary/Grammar: 0",,,,,on hold
Italian,Last Practice Session: N/A,,"Practice Sessions: 0
Resources: 0
Notes/Vocabulary/Grammar: 0",,,,,not started
Russian,Last Practice Session: N/A,,"Practice Sessions: 0
Resources: 0
Notes/Vocabulary/Grammar: 0",,,,,not started
Mandarin Chinsese,Last Practice Session: N/A,,"Practice Sessions: 0
Resources: 0
Notes/Vocabulary/Grammar: 0",,,,,not started
French,Last Practice Session: N/A,,"Practice Sessions: 0
Resources: 0
Notes/Vocabulary/Grammar: 0",,,,,not started
Hindi,Last Practice Session: N/A,,"Practice Sessions: 0
Resources: 0
Notes/Vocabulary/Grammar: 0",,,,,not started
Polish,Last Practice Session: N/A,Native,"Practice Sessions: 0
Resources: 0
Notes/Vocabulary/Grammar: 0",,,,,mastered
Korean,Last Practice Session: N/A,,"Practice Sessions: 0
Resources: 0
Notes/Vocabulary/Grammar: 0",,,,,not started
German,Last Practice Session: N/A,B1,"Practice Sessions: 0
Resources: 0
Notes/Vocabulary/Grammar: 0",,,,,on hold
irish,Last Practice Session: N/A,,"Practice Sessions: 0
Resources: 0
Notes/Vocabulary/Grammar: 0",,,,,not started
