Name,Description,Negative Thoughts
should statements,"Using rigid rules for how things should be, often leading to guilt or frustration.",
disqualifying the positive,Ignoring or invalidating positive experiences as irrelevant or flukes.,
jumping to conclusions,"Making assumptions without evidence. Includes: 
→ Mind Reading: Believing you know what others are thinking (usually negatively).
→ Fortune Telling: Predicting negative outcomes without proof.",
catastrophizing,Expecting the worst-case scenario or exaggerating the importance of problems.,
minimization,Downplaying the significance of positive qualities or achievements.,
blaming,Attributing all responsibility for negative outcomes to others.,
fallacy of fairness,"Believing life should always be fair, leading to frustration when it isn’t.",
mental filter,Focusing only on the negative details of a situation and filtering out the positives.,
fallacy of change,Expecting others to change through pressure or persistence.,
overgeneralization,"Making broad interpretations from a single event (e.g., “I failed once, so I’ll always fail”).",
personalization,Blaming yourself for events beyond your control.,
emotional reasoning,"Assuming feelings reflect reality (e.g., “I feel worthless, so I must be worthless”).",
all-or-nothing thinking,"Viewing situations in black-or-white terms, without recognizing nuance or middle ground.",
control fallacies,"Beliefs about control that distort responsibility. Includes:
→ External Control Fallacy: Believing others or fate control your life completely.
→ Internal Control Fallacy: Believing you are responsible for everyone else’s feelings or problems.",
heaven’s reward fallacy,"Believing sacrifices and effort should always result in reward, leading to resentment.",
labeling and mislabeling,Assigning negative labels to yourself or others based on limited evidence.,
